                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5314,                 1.9184,                 1.8871,                 1.3524,                0.37667,                0.27989,                0.23059,                0.12079,                0.29105,                0.22691,                0.15997,                0.06024,                 1.7832,                 2.3301,                 2.6564,                 1.6205,             0.00055565,             0.00055565,             0.00055565
                      2,                  1.591,                 1.9766,                 1.9675,                 1.3814,                0.39609,                0.28025,                0.24239,                0.12592,                0.30452,                0.22421,                0.16998,                0.06299,                 1.7454,                 2.3211,                 2.6087,                 1.5989,             0.00089128,             0.00089128,             0.00089128
                      3,                 1.5932,                 1.9824,                 1.9632,                 1.3839,                0.38712,                  0.291,                 0.2415,                0.12866,                0.29882,                0.23376,                0.16789,                0.06554,                 1.7183,                 2.2524,                 2.5867,                 1.5764,              0.0010069,              0.0010069,              0.0010069
                      4,                  1.548,                 1.9182,                 1.8725,                 1.3527,                0.39763,                0.29478,                0.24776,                0.13239,                0.31354,                0.23833,                0.17529,                0.06731,                  1.709,                 2.2471,                 2.5862,                 1.5683,              0.0006768,              0.0006768,              0.0006768
                      5,                 1.4767,                 1.8331,                 1.7543,                 1.3079,                0.40955,                0.28649,                 0.2496,                0.13438,                0.31975,                0.23581,                0.17688,                 0.0687,                 1.7083,                 2.2486,                  2.612,                 1.5672,             0.00034674,             0.00034674,             0.00034674
